"Type","Consumed","ShortType","Vintage","Color","Category","Varietal","Country"
"Red","12.7.2023","Drank","2019","Red","Dry","Malbec","Argentina"
"White","10.7.2023","Drank","2019","White","Dry","Chardonnay","USA"
"Red","8.7.2023","Drank","2012","Red","Dry","Sangiovese","Italy"
"Red","7.7.2023","Drank","2020","Red","Dry","Pinot Noir","Germany"
"Red","6.7.2023","Drank","2015","Red","Dry","Sangiovese Blend","Italy"
"Red","5.7.2023","Drank","2017","Red","Dry","Primitivo","Italy"
"Red","3.7.2023","Drank","2019","Red","Dry","Nebbiolo","Italy"
"White","1.7.2023","Drank","2021","White","Dry","Riesling","Germany"
"White","30.6.2023","Drank","2020","White","Dry","Albari�o","Spain"
"Red","30.6.2023","Drank","2015","Red","Dry","Corvina","Italy"
"White - Sparkling","30.6.2023","Drank","2013","White","Sparkling","Champagne Blend","Italy"
"White","29.6.2023","Drank","2017","White","Dry","White Rhone Blend","France"
"Red","28.6.2023","Drank","2017","Red","Dry","SuperTuscan Blend","Italy"
"Red","27.6.2023","Drank","2018","Red","Dry","Pinot Nero","Italy"
"Red","24.6.2023","Drank","2017","Red","Dry","Corvina Blend","Italy"
"White - Sparkling","23.6.2023","Drank","2020","White","Sparkling","Moscato","Italy"
"Red","23.6.2023","Drank","2018","Red","Dry","Cabernet Sauvignon","USA"
"Red","22.6.2023","Drank","2017","Red","Dry","Malbec","Argentina"
"White","17.6.2023","Drank","2018","White","Dry","Pinot Bianco","Italy"
"Red","17.6.2023","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Red","16.6.2023","Drank","2015","Red","Dry","SuperTuscan Blend","Italy"
"Red","10.6.2023","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Red","9.6.2023","Drank","2020","Red","Dry","Red Rhone Blend","France"
"Red","4.6.2023","Drank","2020","Red","Dry","Cabernet Franc","France"
"White - Sparkling","3.6.2023","Drank","1001","White","Sparkling","Champagne Blend","France"
"Red","3.6.2023","Drank","2013","Red","Dry","Corvina Blend","Italy"
"Red","28.5.2023","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Ros�","27.5.2023","Drank","2020","Ros�","Dry","Ros� Blend","France"
"Red","20.5.2023","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Red","19.5.2023","Drank","2018","Red","Dry","Shiraz","Australia"
"Ros�","19.5.2023","Drank","2021","Ros�","Dry","Ros� Blend","France"
"White","13.5.2023","Drank","2020","White","Dry","Chardonnay","Italy"
"Red","12.5.2023","Drank","2013","Red","Dry","Sangiovese","Italy"
"Red","6.5.2023","Drank","2019","Red","Dry","Tempranillo","Spain"
"Red","5.5.2023","Drank","2018","Red","Dry","Grenache","France"
"Red","30.4.2023","Drank","2018","Red","Dry","Nerello Blend","Italy"
"White","30.4.2023","Drank","2019","White","Dry","Pinot Grigio","Italy"
"White","30.4.2023","Drank","2020","White","Dry","Chardonnay","France"
"Red","28.4.2023","Drank","2016","Red","Dry","Carignan Blend","Italy"
"Red","15.4.2023","Drank","2016","Red","Dry","SuperTuscan Blend","Italy"
"Red","14.4.2023","Drank","2018","Red","Dry","Cabernet Sauvignon","USA"
"Red","9.4.2023","Drank","2015","Red","Dry","Corvina","Italy"
"Red","8.4.2023","Drank","2015","Red","Dry","Nebbiolo","Italy"
"Red","8.4.2023","Drank","2016","Red","Dry","Red Blend","Italy"
"Red","7.4.2023","Drank","2017","Red","Dry","Pinot Nero","Italy"
"Red","7.4.2023","Drank","2017","Red","Dry","Nerello Blend","Italy"
"White","6.4.2023","Drank","2018","White","Dry","Chardonnay","France"
"White - Sparkling","6.4.2023","Drank","1001","White","Sparkling","Champagne Blend","France"
"Red","1.4.2023","Drank","2017","Red","Dry","Nero d'Avola","Italy"
"Red","31.3.2023","Drank","2013","Red","Dry","Nebbiolo","Italy"
"Red","25.3.2023","Drank","2015","Red","Dry","Nerello Blend","Italy"
"White - Sparkling","25.3.2023","Drank","1001","White","Sparkling","Champagne Blend","France"
"Red","24.3.2023","Drank","2014","Red","Dry","Tempranillo","Spain"
"Red","18.3.2023","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","17.3.2023","Drank","2016","Red","Dry","Red Blend","Italy"
"Red","11.3.2023","Drank","2017","Red","Dry","Corvina Blend","Italy"
"White","10.3.2023","Drank","2020","White","Dry","Riesling","Germany"
"White - Sweet/Dessert","10.3.2023","Drank","2015","White","Sweet/Dessert","S�millon-Sauvignon Blanc Blend","France"
"Red","4.3.2023","Drank","2016","Red","Dry","Corvina Blend","Italy"
"Red","3.3.2023","Drank","2018","Red","Dry","Merlot","USA"
"Red","10.2.2023","Drank","2015","Red","Dry","Nerello Mascalese","Italy"
"Red","4.2.2023","Drank","2016","Red","Dry","Red Bordeaux Blend","France"
"Red","28.1.2023","Drank","2017","Red","Dry","Corvina Blend","Italy"
"White","27.1.2023","Drank","2018","White","Dry","Albari�o","Spain"
"Red","27.1.2023","Drank","2014","Red","Dry","Tempranillo Blend","Spain"
"Red","21.1.2023","Drank","2017","Red","Dry","Corvina Blend","Italy"
"Red","20.1.2023","Drank","2018","Red","Dry","Red Rhone Blend","France"
"Red","14.1.2023","Drank","2014","Red","Dry","Red Bordeaux Blend","Bulgaria"
"Red","13.1.2023","Drank","2013","Red","Dry","Red Bordeaux Blend","South Africa"
"Red","7.1.2023","Drank","2013","Red","Dry","Corvina Blend","Italy"
"Red","6.1.2023","Drank","2013","Red","Dry","Nebbiolo","Italy"
"Red","5.1.2023","Drank","2016","Red","Dry","Malbec Blend","Argentina"
"Red","4.1.2023","Drank","2013","Red","Dry","Sangiovese Blend","Italy"
"White","3.1.2023","Drank","2018","White","Dry","Chardonnay","USA"
"Red","31.12.2022","Drank","2016","Red","Dry","Carignan Blend","Italy"
"White","31.12.2022","Drank","2020","White","Dry","Arinto","Portugal"
"White","30.12.2022","Drank","2019","White","Dry","Pinot Grigio","Italy"
"Red","29.12.2022","Drank","2017","Red","Dry","Corvina Blend","Italy"
"Red","26.12.2022","Drank","2019","Red","Dry","SuperTuscan Blend","Italy"
"Red","25.12.2022","Drank","2010","Red","Dry","Red Blend","Spain"
"Red","25.12.2022","Drank","2016","Red","Dry","Sangiovese Blend","Italy"
"Red","24.12.2022","Drank","2016","Red","Dry","Grenache","France"
"White - Fortified","24.12.2022","Drank","1001","White","Fortified","Moscatel","Portugal"
"White - Sparkling","24.12.2022","Drank","2013","White","Sparkling","Champagne Blend","France"
"Red","22.12.2022","Drank","2017","Red","Dry","Cabernet Sauvignon","USA"
"Red","16.12.2022","Drank","2017","Red","Dry","Primitivo","Italy"
"Red","10.12.2022","Drank","2013","Red","Dry","Corvina Blend","Italy"
"Red","9.12.2022","Drank","2016","Red","Dry","Red Rhone Blend","France"
"Ros� - Sparkling","6.12.2022","Drank","1001","Ros�","Sparkling","Champagne Blend","Italy"
"Red","5.12.2022","Drank","2016","Red","Dry","Nero d'Avola","Italy"
"Red","5.12.2022","Drank","2017","Red","Dry","Nero d'Avola","Italy"
"Red","3.12.2022","Drank","2017","Red","Dry","Corvina Blend","Italy"
"Red","26.11.2022","Drank","2012","Red","Dry","Nebbiolo","Italy"
"Red","25.11.2022","Drank","2016","Red","Dry","Nebbiolo","Italy"
"Red","20.11.2022","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","19.11.2022","Drank","2016","Red","Dry","Nero d'Avola","Italy"
"Red","19.11.2022","Gifted","2013","Red","Dry","Nebbiolo","Italy"
"Red","18.11.2022","Drank","2017","Red","Dry","Nerello Blend","Italy"
"White","12.11.2022","Drank","2018","White","Dry","Chardonnay","France"
"Red","5.11.2022","Drank","2017","Red","Dry","Corvina Blend","Italy"
"Red","4.11.2022","Drank","2017","Red","Dry","Red Bordeaux Blend","South Africa"
"Red","30.10.2022","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Red","29.10.2022","Drank","2017","Red","Dry","Zinfandel","USA"
"Red","29.10.2022","Drank","2013","Red","Dry","Sangiovese Blend","Italy"
"Red","22.10.2022","Drank","2019","Red","Dry","Gamay","France"
"Red","21.10.2022","Drank","2016","Red","Dry","Corvina Blend","Italy"
"Red","18.10.2022","Drank","2012","Red","Dry","Nebbiolo","Italy"
"Red","16.10.2022","Drank","2017","Red","Dry","Corvina Blend","Italy"
"Red - Fortified","15.10.2022","Drank","1001","Red","Fortified","Port Blend","Portugal"
"Red","14.10.2022","Drank","2012","Red","Dry","Red Rhone Blend","France"
"Red","8.10.2022","Drank","2018","Red","Dry","Sangiovese Blend","Italy"
"Red","7.10.2022","Drank","2014","Red","Dry","Tempranillo","Spain"
"Red","2.10.2022","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Red","1.10.2022","Drank","2014","Red","Dry","Nero d'Avola","Italy"
"Red","30.9.2022","Drank","2013","Red","Dry","Sangiovese Blend","Italy"
"Red","17.9.2022","Drank","2017","Red","Dry","Corvina Blend","Italy"
"Red","16.9.2022","Drank","2019","Red","Dry","Red Bordeaux Blend","France"
"Red","9.9.2022","Drank","2016","Red","Dry","Nerello Mascalese","Italy"
"White","2.9.2022","Drank","2020","White","Dry","Sauvignon Blanc","France"
"Red","29.8.2022","Gifted","2016","Red","Dry","Sangiovese Blend","Italy"
"Red","27.8.2022","Drank","2016","Red","Dry","Red Bordeaux Blend","France"
"Red","26.8.2022","Drank","2015","Red","Dry","Nero d'Avola","Italy"
"Red","5.8.2022","Drank","2013","Red","Dry","Aglianico","Italy"
"Red","4.8.2022","Drank","2017","Red","Dry","Corvina Blend","Italy"
"Red","1.8.2022","Drank","2016","Red","Dry","Zinfandel","USA"
"Red","31.7.2022","Drank","2018","Red","Dry","SuperTuscan Blend","Italy"
"Red","30.7.2022","Drank","2018","Red","Dry","Cabernet Sauvignon","USA"
"Red","29.7.2022","Drank","2018","Red","Dry","Red Rhone Blend","France"
"White","29.7.2022","Drank","2019","White","Dry","Chardonnay","France"
"Red","28.7.2022","Drank","2015","Red","Dry","Corvina","Italy"
"Red","27.7.2022","Drank","2013","Red","Dry","Sangiovese Blend","Italy"
"White - Off-dry","25.7.2022","Drank","2020","White","Dry","Riesling","Germany"
"Red","24.7.2022","Drank","2016","Red","Dry","Primitivo","Italy"
"Red","23.7.2022","Drank","2013","Red","Dry","Sangiovese","Italy"
"Red","22.7.2022","Drank","2017","Red","Dry","Corvina Blend","Italy"
"Red","21.7.2022","Drank","2018","Red","Dry","Cabernet Sauvignon","USA"
"Red","20.7.2022","Drank","2018","Red","Dry","Red Rhone Blend","France"
"Red","17.7.2022","Drank","2018","Red","Dry","Malbec","Argentina"
"Red","17.7.2022","Drank","2018","Red","Dry","Malbec","Argentina"
"Red","16.7.2022","Drank","2015","Red","Dry","Red Bordeaux Blend","Italy"
"White","15.7.2022","Drank","2017","White","Dry","Chardonnay","USA"
"Red","24.6.2022","Drank","2017","Red","Dry","Red Bordeaux Blend","South Africa"
"Red","24.6.2022","Drank","2016","Red","Dry","Malbec Blend","Argentina"
"Red","23.6.2022","Drank","2016","Red","Dry","Red Rhone Blend","France"
"Ros�","22.6.2022","Drank","2020","Ros�","Dry","Ros� Blend","France"
"Red","19.6.2022","Drank","2013","Red","Dry","Corvina","Italy"
"Red","17.6.2022","Drank","2013","Red","Dry","Nebbiolo","Italy"
"Ros�","11.6.2022","Drank","2020","Ros�","Dry","Ros� Blend","France"
"Red","11.6.2022","Drank","2017","Red","Dry","Corvina Blend","Italy"
"Red","10.6.2022","Drank","2015","Red","Dry","Sangiovese Blend","Italy"
"Red","5.6.2022","Drank","2015","Red","Dry","Red Bordeaux Blend","France"
"Red","4.6.2022","Drank","2017","Red","Dry","Red Bordeaux Blend","South Africa"
"Red","29.5.2022","Drank","2017","Red","Dry","Corvina Blend","Italy"
"Red","26.5.2022","Drank","2014","Red","Dry","Tempranillo Blend","Spain"
"Red","25.5.2022","Drank","2018","Red","Dry","Primitivo","Italy"
"White","20.5.2022","Drank","2018","White","Dry","Garganega","Italy"
"Red","14.5.2022","Drank","2017","Red","Dry","Corvina Blend","Italy"
"Red","13.5.2022","Drank","2012","Red","Dry","Red Bordeaux Blend","France"
"Red","8.5.2022","Drank","2016","Red","Dry","Nero d'Avola","Italy"
"Red","7.5.2022","Drank","2012","Red","Dry","Corvina Blend","Italy"
"Red","6.5.2022","Drank","2015","Red","Dry","Sangiovese Blend","Italy"
"Red","30.4.2022","Drank","2019","Red","Dry","Tempranillo","Spain"
"Red","30.4.2022","Drank","2016","Red","Dry","Grenache Blend","Spain"
"Red","29.4.2022","Drank","2020","Red","Dry","Cabernet Franc","France"
"Red","23.4.2022","Drank","2016","Red","Dry","Corvina Blend","Italy"
"Red","17.4.2022","Drank","2016","Red","Dry","Red Bordeaux Blend","South Africa"
"Red","16.4.2022","Drank","2015","Red","Dry","Sangiovese","Italy"
"Red","15.4.2022","Drank","2017","Red","Dry","Nerello Blend","Italy"
"Red","15.4.2022","Drank","2012","Red","Dry","Nebbiolo","Italy"
"Red","14.4.2022","Drank","2017","Red","Dry","Malbec","Argentina"
"Red","14.4.2022","Drank","2017","Red","Dry","Tempranillo","Spain"
"Red","10.4.2022","Drank","2016","Red","Dry","Red Rhone Blend","France"
"Red","8.4.2022","Drank","2015","Red","Dry","Red Bordeaux Blend","Italy"
"Red","2.4.2022","Drank","2013","Red","Dry","Corvina","Italy"
"Red","1.4.2022","Drank","2015","Red","Dry","Red Bordeaux Blend","France"
"Red","27.3.2022","Gifted","2018","Red","Dry","Cabernet Sauvignon","USA"
"Red","25.3.2022","Drank","2016","Red","Dry","Red Bordeaux Blend","South Africa"
"Red","19.3.2022","Drank","2017","Red","Dry","Corvina Blend","Italy"
"Red","18.3.2022","Drank","2015","Red","Dry","Barbera","Italy"
"Red","12.3.2022","Drank","2017","Red","Dry","Corvina Blend","Italy"
"Red","11.3.2022","Drank","2014","Red","Dry","Nero d'Avola","Italy"
"Red","5.3.2022","Drank","2012","Red","Dry","Tempranillo","Spain"
"Red","4.3.2022","Drank","2017","Red","Dry","Pinot Nero","Italy"
"Red","26.2.2022","Drank","2014","Red","Dry","Red Bordeaux Blend","France"
"Red","25.2.2022","Drank","2016","Red","Dry","Corvina Blend","Italy"
"Red","24.2.2022","Drank","2016","Red","Dry","Red Bordeaux Blend","South Africa"
"Red","20.2.2022","Drank","2016","Red","Dry","SuperTuscan Blend","Italy"
"Red","19.2.2022","Drank","2017","Red","Dry","Corvina Blend","Italy"
"Red","18.2.2022","Drank","2015","Red","Dry","Carignan Blend","Italy"
"White - Sparkling","11.2.2022","Drank","2008","White","Sparkling","Champagne Blend","France"
"White","11.2.2022","Drank","2017","White","Dry","Chardonnay","South Africa"
"Red","6.2.2022","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","5.2.2022","Drank","2016","Red","Dry","Blauburgunder","Italy"
"Red","4.2.2022","Drank","2015","Red","Dry","Corvina Blend","Italy"
"Ros� - Sparkling","29.1.2022","Drank","2017","Ros�","Sparkling","Pinot Nero","Italy"
"Red","29.1.2022","Drank","2018","Red","Dry","Primitivo","Italy"
"Red","28.1.2022","Drank","2016","Red","Dry","Nebbiolo","Italy"
"Red","27.1.2022","Drank","2016","Red","Dry","Zinfandel","USA"
"Red","27.1.2022","Drank","2016","Red","Dry","Nero d'Avola","Italy"
"White","27.1.2022","Drank","2018","White","Dry","Pinot Grigio","Italy"
"Red","22.1.2022","Drank","2016","Red","Dry","Corvina Blend","Italy"
"Red","21.1.2022","Drank","2010","Red","Dry","Sangiovese","Italy"
"Red","20.1.2022","Drank","2016","Red","Dry","Sangiovese Blend","Italy"
"Red","15.1.2022","Drank","2012","Red","Dry","Corvina Blend","Italy"
"White","14.1.2022","Drank","2020","White","Dry","Sauvignon Blanc","France"
"Red","9.1.2022","Drank","2018","Red","Dry","Red Rhone Blend","France"
"Red","9.1.2022","Drank","2016","Red","Dry","Primitivo","Italy"
"Red","8.1.2022","Drank","2016","Red","Dry","Corvina Blend","Italy"
"Red","7.1.2022","Drank","2012","Red","Dry","Sangiovese","Italy"
"Red","6.1.2022","Drank","2018","Red","Dry","Cabernet Sauvignon","USA"
"Red","5.1.2022","Drank","2017","Red","Dry","Corvina Blend","Italy"
"Red","26.12.2021","Drank","2017","Red","Dry","Malbec","Argentina"
"Red","25.12.2021","Drank","2010","Red","Dry","Tempranillo Blend","Spain"
"Red","24.12.2021","Drank","2015","Red","Dry","Red Rhone Blend","France"
"White - Sparkling","24.12.2021","Drank","2010","White","Sparkling","Chardonnay","France"
"White - Fortified","24.12.2021","Drank","2005","White","Fortified","Bual","Portugal"
"Red","24.12.2021","Drank","2017","Red","Dry","Red Rhone Blend","France"
"Red","23.12.2021","Drank","2015","Red","Dry","Red Rhone Blend","France"
"Red","22.12.2021","Drank","2011","Red","Dry","Nebbiolo","Italy"
"Red","21.12.2021","Drank","2014","Red","Dry","Red Bordeaux Blend","France"
"White","21.12.2021","Drank","2020","White","Dry","Albari�o","Spain"
"Red","19.12.2021","Drank","2014","Red","Dry","Nerello Blend","Italy"
"Red","18.12.2021","Drank","2014","Red","Dry","Sp�tburgunder","Germany"
"White","18.12.2021","Drank","2016","White","Dry","Gew�rztraminer","Italy"
"Red","18.12.2021","Drank","2017","Red","Dry","SuperTuscan Blend","Italy"
"Red","17.12.2021","Drank","2017","Red","Dry","Red Rhone Blend","France"
"White - Sparkling","17.12.2021","Drank","1001","White","Sparkling","Champagne Blend","France"
"White - Sparkling","17.12.2021","Drank","1001","White","Sparkling","Champagne Blend","France"
"White","12.12.2021","Cooking","2018","White","Dry","Garganega","Italy"
"Red","11.12.2021","Drank","2016","Red","Dry","Corvina Blend","Italy"
"Red","10.12.2021","Drank","2016","Red","Dry","Nerello Blend","Italy"
"Red","6.12.2021","Drank","2013","Red","Dry","Sp�tburgunder","Germany"
"Red","5.12.2021","Drank","2017","Red","Dry","Corvina Blend","Italy"
"White","4.12.2021","Drank","2020","White","Dry","Riesling","USA"
"Red","3.12.2021","Drank","2016","Red","Dry","Nero d'Avola","Italy"
"Red","27.11.2021","Drank","2016","Red","Dry","Nero d'Avola","Italy"
"Red","27.11.2021","Drank","2013","Red","Dry","Corvina","Italy"
"Red","19.11.2021","Drank","2012","Red","Dry","Sangiovese","Italy"
"Red","14.11.2021","Drank","2014","Red","Dry","Red Bordeaux Blend","France"
"Red","13.11.2021","Drank","2016","Red","Dry","Corvina Blend","Italy"
"Red","12.11.2021","Drank","2016","Red","Dry","Blauburgunder","Italy"
"Red","6.11.2021","Drank","2015","Red","Dry","Red Rhone Blend","France"
"Red","6.11.2021","Drank","2016","Red","Dry","Red Rhone Blend","France"
"Red","5.11.2021","Drank","2012","Red","Dry","Tempranillo Blend","Spain"
"Red","31.10.2021","Drank","2015","Red","Dry","Red Bordeaux Blend","France"
"Red","30.10.2021","Drank","2016","Red","Dry","Corvina Blend","Italy"
"White - Sweet/Dessert","23.10.2021","Drank","2017","White","Sweet/Dessert","Zibibbo","Italy"
"Red","22.10.2021","Drank","2014","Red","Dry","Sp�tburgunder","Germany"
"Red","21.10.2021","Drank","2017","Red","Dry","Corvina Blend","Italy"
"Red","20.10.2021","Drank","2011","Red","Dry","Nebbiolo","Italy"
"Red","19.10.2021","Drank","2014","Red","Dry","Nerello Mascalese","Italy"
"Red","18.10.2021","Drank","2013","Red","Dry","Corvina","Italy"
"Red","15.10.2021","Drank","2013","Red","Dry","Sangiovese","Italy"
"Red","10.10.2021","Drank","2015","Red","Dry","Red Bordeaux Blend","France"
"Red","9.10.2021","Drank","2013","Red","Dry","Corvina Blend","Italy"
"Red","8.10.2021","Drank","2016","Red","Dry","Malbec","Argentina"
"Red","24.9.2021","Drank","2017","Red","Dry","Nerello Blend","Italy"
"Red","26.8.2021","Drank","2015","Red","Dry","Nebbiolo","Italy"
"White","7.8.2021","Drank","2018","White","Dry","Albari�o","Spain"
"White","6.8.2021","Drank","2017","White","Dry","Chardonnay","France"
"Red","5.8.2021","Drank","2016","Red","Dry","Red Rhone Blend","France"
"Red","4.8.2021","Cooking","2015","Red","Dry","Nebbiolo","Italy"
"Red","4.8.2021","Drank","2011","Red","Dry","Nebbiolo","Italy"
"Red","2.8.2021","Drank","2015","Red","Dry","Barbera","Italy"
"Red","1.8.2021","Drank","2016","Red","Dry","Corvina Blend","Italy"
"Red","31.7.2021","Drank","2011","Red","Dry","Sangiovese Blend","Italy"
"Red","30.7.2021","Drank","2016","Red","Dry","Primitivo","Italy"
"Ros�","27.7.2021","Drank","2020","Ros�","Dry","Ros� Blend","France"
"Red","26.7.2021","Drank","2016","Red","Dry","Corvina Blend","Italy"
"Red","25.7.2021","Drank","2016","Red","Dry","Nero d'Avola","Italy"
"Red","24.7.2021","Drank","2016","Red","Dry","Zinfandel","USA"
"Red","22.7.2021","Drank","2015","Red","Dry","SuperTuscan Blend","Italy"
"Red","20.7.2021","Drank","2015","Red","Dry","Red Bordeaux Blend","South Africa"
"Red","20.7.2021","Drank","2015","Red","Dry","Red Bordeaux Blend","Bulgaria"
"Ros�","19.7.2021","Drank","2020","Ros�","Dry","Red Rhone Blend","France"
"Red","19.7.2021","Drank","2015","Red","Dry","Malbec Blend","Argentina"
"Red","19.7.2021","Drank","2015","Red","Dry","Malbec Blend","Argentina"
"Red","18.7.2021","Drank","2015","Red","Dry","Sangiovese Blend","Italy"
"Red","18.7.2021","Drank","2013","Red","Dry","Corvina","Italy"
"White","17.7.2021","Drank","2019","White","Dry","Sauvignon Blanc","France"
"Red","16.7.2021","Drank","2017","Red","Dry","Corvina Blend","Italy"
"White","16.7.2021","Drank","2017","White","Dry","Chardonnay","France"
"Red","15.7.2021","Drank","2015","Red","Dry","Sangiovese Blend","Italy"
"Red","13.7.2021","Drank","2016","Red","Dry","Corvina Blend","Italy"
"White","12.7.2021","Drank","2017","White","Dry","White Rhone Blend","France"
"Red","11.7.2021","Drank","2015","Red","Dry","Nero d'Avola","Italy"
"White","9.7.2021","Drank","2017","White","Dry","Garganega","Italy"
"Red","8.7.2021","Drank","2015","Red","Dry","Carignan Blend","Italy"
"Red","8.7.2021","Drank","2016","Red","Dry","Red Rhone Blend","France"
"White - Sparkling","7.7.2021","Drank","2018","White","Sparkling","Moscato","Italy"
"Ros�","7.7.2021","Drank","2019","Ros�","Dry","Ros� Blend","France"
"Red","7.7.2021","Drank","2016","Red","Dry","Nerello Blend","Italy"
"Red","6.7.2021","Drank","2012","Red","Dry","Sangiovese","Italy"
"Red","6.7.2021","Drank","2015","Red","Dry","Cabernet Sauvignon","Italy"
"Red","5.7.2021","Drank","2017","Red","Dry","Tempranillo","Spain"
"Red","5.7.2021","Drank","2010","Red","Dry","Tempranillo Blend","Spain"
"Red","2.7.2021","Drank","2018","Red","Dry","SuperTuscan Blend","Italy"
"White","1.7.2021","Drank","2019","White","Dry","Sauvignon Blanc","France"
"Red","30.6.2021","Drank","2016","Red","Dry","Primitivo","Italy"
"Red","29.6.2021","Drank","2015","Red","Dry","Nebbiolo","Italy"
"Red","27.6.2021","Drank","2016","Red","Dry","Corvina Blend","Italy"
"Red","26.6.2021","Drank","2015","Red","Dry","Zinfandel","USA"
"Red","25.6.2021","Drank","2015","Red","Dry","Merlot","Italy"
"White","24.6.2021","Drank","2018","White","Dry","Chardonnay","France"
"White","23.6.2021","Drank","2017","White","Dry","Carricante","Italy"
"Red","20.6.2021","Drank","2017","Red","Dry","Cabernet Sauvignon","Bulgaria"
"Red","19.6.2021","Drank","2015","Red","Dry","Corvina Blend","Italy"
"White - Sparkling","16.6.2021","Missing","1001","White","Sparkling","Champagne Blend","France"
"Red","15.6.2021","Drank","2012","Red","Dry","Red Bordeaux Blend","France"
"Red","13.6.2021","Drank","2015","Red","Dry","Red Bordeaux Blend","Italy"
"Red","12.6.2021","Drank","2006","Red","Dry","Corvina Blend","Italy"
"Red","11.6.2021","Drank","2017","Red","Dry","Primitivo","Italy"
"Ros�","11.6.2021","Drank","2019","Ros�","Dry","Ros� Blend","France"
"Red","11.6.2021","Drank","2016","Red","Dry","Zinfandel","USA"
"Red","6.6.2021","Drank","2016","Red","Dry","Corvina Blend","Italy"
"Ros�","5.6.2021","Drank","2019","Ros�","Dry","Red Rhone Blend","France"
"Red","5.6.2021","Drank","2018","Red","Dry","Red Rhone Blend","France"
"Red","4.6.2021","Drank","2015","Red","Dry","Barbera","Italy"
"Red","30.5.2021","Drank","2015","Red","Dry","Red Bordeaux Blend","France"
"Red","22.5.2021","Drank","2016","Red","Dry","Corvina Blend","Italy"
"Red","21.5.2021","Drank","2014","Red","Dry","Nerello Mascalese","Italy"
"Red","13.5.2021","Drank","2013","Red","Dry","Red Bordeaux Blend","Italy"
"Red","9.5.2021","Drank","2016","Red","Dry","Nebbiolo","Italy"
"White","9.5.2021","Drank","2018","White","Dry","Nascetta","Italy"
"Red","8.5.2021","Drank","2012","Red","Dry","Corvina","Italy"
"White - Sparkling","5.5.2021","Drank","1001","White","Sparkling","Champagne Blend","France"
"White - Sparkling","5.5.2021","Drank","1001","White","Sparkling","Champagne Blend","France"
"White - Sparkling","5.5.2021","Drank","1001","White","Sparkling","Champagne Blend","France"
"Red","2.5.2021","Drank","2016","Red","Dry","Corvina Blend","Italy"
"Red","1.5.2021","Drank","2017","Red","Dry","Primitivo","Italy"
"Red","1.5.2021","Drank","2015","Red","Dry","Primitivo","Italy"
"Red","30.4.2021","Drank","2016","Red","Dry","Red Rhone Blend","France"
"Red","25.4.2021","Drank","2017","Red","Dry","Cabernet Sauvignon","Bulgaria"
"Red","24.4.2021","Drank","2016","Red","Dry","Corvina Blend","Italy"
"Red","23.4.2021","Drank","2016","Red","Dry","Red Rhone Blend","France"
"Red","17.4.2021","Drank","2017","Red","Dry","Cabernet Sauvignon","USA"
"Red","17.4.2021","Drank","2016","Red","Dry","Nebbiolo","Italy"
"Red","16.4.2021","Drank","2015","Red","Dry","Blauburgunder","Italy"
"White","11.4.2021","Drank","2018","White","Dry","White Rhone Blend","France"
"Red","10.4.2021","Drank","2015","Red","Dry","Corvina Blend","Italy"
"Red","9.4.2021","Drank","2013","Red","Dry","Nero d'Avola","Italy"
"White","8.4.2021","Cooking","2017","White","Dry","Sauvignon","Italy"
"Red","5.4.2021","Drank","2016","Red","Dry","Corvina Blend","Italy"
"Red","4.4.2021","Drank","2010","Red","Dry","Red Bordeaux Blend","France"
"Red","3.4.2021","Drank","2014","Red","Dry","SuperTuscan Blend","Italy"
"Red","1.4.2021","Drank","2016","Red","Dry","Nero d'Avola","Italy"
"Red","1.4.2021","Drank","2017","Red","Dry","Corvina Blend","Italy"
"Red","28.3.2021","Drank","2015","Red","Dry","Sangiovese Blend","Italy"
"Red","27.3.2021","Drank","2013","Red","Dry","Corvina","Italy"
"Ros� - Sparkling","26.3.2021","Drank","1001","Ros�","Sparkling","Champagne Blend","France"
"White - Sweet/Dessert","26.3.2021","Drank","2016","White","Sweet/Dessert","Silvaner","Germany"
"White","26.3.2021","Drank","2016","White","Dry","Chardonnay","France"
"Red","21.3.2021","Drank","2015","Red","Dry","Nerello Mascalese","Italy"
"Red","20.3.2021","Drank","2016","Red","Dry","Tempranillo","Spain"
"Red","19.3.2021","Drank","2016","Red","Dry","Cabernet Jura","Switzerland"
"Red","19.3.2021","Drank","2016","Red","Dry","Teran","Slovenia"
"Red","14.3.2021","Drank","2015","Red","Dry","Nero d'Avola","Italy"
"White - Sparkling","13.3.2021","Drank","2018","White","Sparkling","Moscato","Italy"
"Red","13.3.2021","Drank","2016","Red","Dry","Corvina Blend","Italy"
"Red","12.3.2021","Drank","2015","Red","Dry","Malbec Blend","Argentina"
"Red","7.3.2021","Drank","2015","Red","Dry","SuperTuscan Blend","Italy"
"Red","6.3.2021","Drank","2016","Red","Dry","Corvina Blend","Italy"
"Red","5.3.2021","Drank","2011","Red","Dry","Pinot Noir","France"
